producer_id,event_type_identifier,version,schema_format,partition_key,kafka_topics,requires_archival,publish_to_lce
account-workers.billing-cloudways-sandbox.service.digitalocean.com,billing.lifecycle.address_updated,v1.0.0,SCHEMA_FORMAT_JSON,no_order,ept--account-workers.billing-cloudways-sandbox--billing.lifecycle.address-updated--v1.0.0--nyc3;eventing-nyc3,True,False
bandwidth-collector.network-product.service.digitalocean.com,PEERING_BILLING_USAGE,v1,SCHEMA_FORMAT_JSON,resource_urn,ept--bandwidth-collector.network-product--peering-billing-usage--v1--nyc3;eventing-nyc3,True,False
bandwidth-collector.network-product.service.digitalocean.com,interconnect.state.remote_routes,v1,SCHEMA_FORMAT_JSON,ia_uuid,ept--bandwidth-collector.network-product--interconnect.state.remote-routes--v1--nyc3;eventing-nyc3,True,False
account-workers.billing-cloudways.service.digitalocean.com,billing.lifecycle.address_updated,v1.0.0,SCHEMA_FORMAT_JSON,no_order,ept--account-workers.billing-cloudways--billing.lifecycle.address-updated--v1.0.0--nyc3;eventing-nyc3,True,False
invoice-workers.billing.service.digitalocean.com,billing.lifecycle.invoice_generated,v1.0.0,SCHEMA_FORMAT_JSON,no_order,ept--invoice-workers.billing--billing.lifecycle.invoice-generated--v1.0.0--nyc3;eventing-nyc3,True,False
account-workers.billing-cloudways.service.digitalocean.com,billing.lifecycle.tax_payment_address_updated,v1.0.0,SCHEMA_FORMAT_JSON,no_order,ept--account-workers.billing-cloudways--billing.lifecycle.tax-payment-address-updated--v1.0.0--nyc3;eventing-nyc3,True,False
account-workers.billing-cloudways.service.digitalocean.com,billing.lifecycle.account_state_updated,v1.0.1,SCHEMA_FORMAT_JSON,no_order,ept--account-workers.billing-cloudways--billing.lifecycle.account-state-updated--v1.0.1--nyc3;eventing-nyc3,True,False
account-workers.billing-cloudways-sandbox.service.digitalocean.com,billing.lifecycle.extended_credit_expiration,v1.0.0,SCHEMA_FORMAT_JSON,no_order,ept--account-workers.billing-cloudways-sandbox--billing.lifecycle.extended-credit-expiration--v1.0.0--nyc3;eventing-nyc3,True,False
invoice-workers.billing-cloudways-sandbox.service.digitalocean.com,billing.lifecycle.invoice_generated,v1.0.0,SCHEMA_FORMAT_JSON,no_order,ept--invoice-workers.billing-cloudways-sandbox--billing.lifecycle.invoice-generated--v1.0.0--nyc3;eventing-nyc3,True,False
payment-workers.billing-cloudways.service.digitalocean.com,billing.lifecycle.failed_month_close_charge,v1.0.0,SCHEMA_FORMAT_JSON,no_order,ept--payment-workers.billing-cloudways--billing.lifecycle.failed-month-close-charge--v1.0.0--nyc3;eventing-nyc3,True,False
account-workers.billing.service.digitalocean.com,billing.lifecycle.taxation_identity_updated,v1.0.0,SCHEMA_FORMAT_JSON,no_order,ept--account-workers.billing--billing.lifecycle.taxation-identity-updated--v1.0.0--nyc3;eventing-nyc3,True,False
payment-workers.billing-cloudways.service.digitalocean.com,billing.lifecycle.card_charged_failed,v1.0.0,SCHEMA_FORMAT_JSON,no_order,ept--payment-workers.billing-cloudways--billing.lifecycle.card-charged-failed--v1.0.0--nyc3;eventing-nyc3,True,False
bandwidth-collector.stage.network-product.service.digitalocean.com,interconnect.state.remote_routes,v1,SCHEMA_FORMAT_JSON,ia_uuid,ept--bandwidth-collector.stage.network-product--interconnect.state.remote-routes--v1--nyc3;eventing-nyc3,True,False
account-workers.billing-cloudways-sandbox.service.digitalocean.com,billing.lifecycle.account_state_updated,v1.0.0,SCHEMA_FORMAT_JSON,no_order,ept--account-workers.billing-cloudways-sandbox--billing.lifecycle.account-state-updated--v1.0.0--nyc3;eventing-nyc3,True,False
account-workers.billing.service.digitalocean.com,billing.lifecycle.tax_payment_address_updated,v1.0.0,SCHEMA_FORMAT_JSON,no_order,ept--account-workers.billing--billing.lifecycle.tax-payment-address-updated--v1.0.0--nyc3;eventing-nyc3,True,False
account-workers.billing.service.digitalocean.com,billing.lifecycle.address_updated,v1.0.0,SCHEMA_FORMAT_JSON,no_order,ept--account-workers.billing--billing.lifecycle.address-updated--v1.0.0--nyc3;eventing-nyc3,True,False
account-workers.billing.service.digitalocean.com,billing.lifecycle.taxation_identity_created,v1.0.0,SCHEMA_FORMAT_JSON,no_order,ept--account-workers.billing--billing.lifecycle.taxation-identity-created--v1.0.0--nyc3;eventing-nyc3,True,False
account-workers.billing.service.digitalocean.com,billing.lifecycle.account_state_updated,v1.0.1,SCHEMA_FORMAT_JSON,no_order,ept--account-workers.billing--billing.lifecycle.account-state-updated--v1.0.1--nyc3;eventing-nyc3,True,False
account-workers.billing.service.digitalocean.com,billing.lifecycle.awarded_credit,v1.0.0,SCHEMA_FORMAT_JSON,no_order,ept--account-workers.billing--billing.lifecycle.awarded-credit--v1.0.0--nyc3;eventing-nyc3,True,False
droplet-backup-listener.droplet.service.digitalocean.com,droplets.billing.backups,v3,SCHEMA_FORMAT_JSON,no_order,ept--droplet-backup-listener.droplet--droplets.billing.backups--v3--nyc3;eventing-nyc3,True,False
usageservice.marketplace.service.digitalocean.com,marketplace.usageservice.usage_request,v1.0.1,SCHEMA_FORMAT_JSON,no_order,ept--usageservice.marketplace--marketplace.usageservice.usage-request--v1.0.1--nyc3;eventing-nyc3,True,False
payment-workers.billing-cloudways-sandbox.service.digitalocean.com,billing.lifecycle.failed_month_close_charge,v1.0.0,SCHEMA_FORMAT_JSON,no_order,ept--payment-workers.billing-cloudways-sandbox--billing.lifecycle.failed-month-close-charge--v1.0.0--nyc3;eventing-nyc3,True,False
account-workers.billing-cloudways-sandbox.service.digitalocean.com,billing.lifecycle.taxation_identity_updated,v1.0.0,SCHEMA_FORMAT_JSON,no_order,ept--account-workers.billing-cloudways-sandbox--billing.lifecycle.taxation-identity-updated--v1.0.0--nyc3;eventing-nyc3,True,False
payment-workers.billing-cloudways-sandbox.service.digitalocean.com,billing.lifecycle.payment_method_added,v1.0.1,SCHEMA_FORMAT_JSON,no_order,ept--payment-workers.billing-cloudways-sandbox--billing.lifecycle.payment-method-added--v1.0.1--nyc3;eventing-nyc3,True,False
account-workers.billing-cloudways.service.digitalocean.com,billing.lifecycle.taxation_identity_created,v1.0.0,SCHEMA_FORMAT_JSON,no_order,ept--account-workers.billing-cloudways--billing.lifecycle.taxation-identity-created--v1.0.0--nyc3;eventing-nyc3,True,False
account-workers.billing-cloudways.service.digitalocean.com,billing.lifecycle.taxation_identity_deleted,v1.0.0,SCHEMA_FORMAT_JSON,no_order,ept--account-workers.billing-cloudways--billing.lifecycle.taxation-identity-deleted--v1.0.0--nyc3;eventing-nyc3,True,False
account-workers.billing.service.digitalocean.com,billing.lifecycle.taxation_payment_address_updated,v1.0.0,SCHEMA_FORMAT_JSON,no_order,ept--account-workers.billing--billing.lifecycle.taxation-payment-address-updated--v1.0.0--nyc3;eventing-nyc3,True,False
bandwidth-collector.network-product.service.digitalocean.com,VPC_DROPPED_PACKETS,v1,SCHEMA_FORMAT_JSON,source_vpc,ept--bandwidth-collector.network-product--vpc-dropped-packets--v1--nyc3;eventing-nyc3,True,False
bandwidth-collector.stage.network-product.service.digitalocean.com,interconnect_gateways.state.bmp_peer_up_down_notification,v3,SCHEMA_FORMAT_JSON,tunnel_id,ept--bandwidth-collector.stage.network-product--interconnect-gateways.state.bmp-peer-up-down-notification--v3--nyc3;eventing-nyc3,True,False
bandwidth-collector.network-product.service.digitalocean.com,interconnect_gateways.state.bmp_peer_up_down_notification,v4,SCHEMA_FORMAT_JSON,tunnel_id,ept--bandwidth-collector.network-product--interconnect-gateways.state.bmp-peer-up-down-notification--v4--nyc3;eventing-nyc3,True,False
payment-workers.billing-cloudways.service.digitalocean.com,billing.lifecycle.payment_method_added,v1.0.1,SCHEMA_FORMAT_JSON,no_order,ept--payment-workers.billing-cloudways--billing.lifecycle.payment-method-added--v1.0.1--nyc3;eventing-nyc3,True,False
account-workers.billing-cloudways.service.digitalocean.com,billing.lifecycle.taxation_payment_address_updated,v1.0.0,SCHEMA_FORMAT_JSON,no_order,ept--account-workers.billing-cloudways--billing.lifecycle.taxation-payment-address-updated--v1.0.0--nyc3;eventing-nyc3,True,False
account-workers.billing-cloudways.service.digitalocean.com,billing.lifecycle.awarded_credit,v1.0.0,SCHEMA_FORMAT_JSON,no_order,ept--account-workers.billing-cloudways--billing.lifecycle.awarded-credit--v1.0.0--nyc3;eventing-nyc3,True,False
account-workers.billing-cloudways-sandbox.service.digitalocean.com,billing.lifecycle.tax_payment_address_updated,v1.0.0,SCHEMA_FORMAT_JSON,no_order,ept--account-workers.billing-cloudways-sandbox--billing.lifecycle.tax-payment-address-updated--v1.0.0--nyc3;eventing-nyc3,True,False
account-workers.billing-cloudways-sandbox.service.digitalocean.com,billing.lifecycle.taxation_identity_deleted,v1.0.0,SCHEMA_FORMAT_JSON,no_order,ept--account-workers.billing-cloudways-sandbox--billing.lifecycle.taxation-identity-deleted--v1.0.0--nyc3;eventing-nyc3,True,False
payment-workers.billing-cloudways-sandbox.service.digitalocean.com,billing.lifecycle.card_charged_failed,v1.0.0,SCHEMA_FORMAT_JSON,no_order,ept--payment-workers.billing-cloudways-sandbox--billing.lifecycle.card-charged-failed--v1.0.0--nyc3;eventing-nyc3,True,False
payment-workers.billing.service.digitalocean.com,billing.lifecycle.card_charged_failed,v1.0.0,SCHEMA_FORMAT_JSON,no_order,ept--payment-workers.billing--billing.lifecycle.card-charged-failed--v1.0.0--nyc3;eventing-nyc3,True,False
usageservice.marketplace.service.digitalocean.com,marketplace.usageservice.usage_event,v1.0.2,SCHEMA_FORMAT_JSON,no_order,ept--usageservice.marketplace--marketplace.usageservice.usage-event--v1.0.2--nyc3;eventing-nyc3,True,False
usageservice.marketplace.service.digitalocean.com,marketplace.billing.usage_event,v1.0.2,SCHEMA_FORMAT_JSON,no_order,ept--usageservice.marketplace--marketplace.billing.usage-event--v1.0.2--nyc3;eventing-nyc3,True,False
payment-workers.billing.service.digitalocean.com,billing.lifecycle.payment_method_added,v1.0.1,SCHEMA_FORMAT_JSON,no_order,ept--payment-workers.billing--billing.lifecycle.payment-method-added--v1.0.1--nyc3;eventing-nyc3,True,False
payment-workers.billing.service.digitalocean.com,billing.lifecycle.failed_month_close_charge,v1.0.0,SCHEMA_FORMAT_JSON,no_order,ept--payment-workers.billing--billing.lifecycle.failed-month-close-charge--v1.0.0--nyc3;eventing-nyc3,True,False
account-workers.billing-cloudways.service.digitalocean.com,billing.lifecycle.taxation_identity_updated,v1.0.0,SCHEMA_FORMAT_JSON,no_order,ept--account-workers.billing-cloudways--billing.lifecycle.taxation-identity-updated--v1.0.0--nyc3;eventing-nyc3,True,False
account-workers.billing-cloudways-sandbox.service.digitalocean.com,billing.lifecycle.account_state_updated,v1.0.1,SCHEMA_FORMAT_JSON,no_order,ept--account-workers.billing-cloudways-sandbox--billing.lifecycle.account-state-updated--v1.0.1--nyc3;eventing-nyc3,True,False
bandwidth-collector.network-product.service.digitalocean.com,INTERCONNECT_USAGE,v1,SCHEMA_FORMAT_JSON,resource_urn,ept--bandwidth-collector.network-product--interconnect-usage--v1--nyc3;eventing-nyc3,True,False
account-workers.billing-cloudways-sandbox.service.digitalocean.com,billing.lifecycle.awarded_credit,v1.0.0,SCHEMA_FORMAT_JSON,no_order,ept--account-workers.billing-cloudways-sandbox--billing.lifecycle.awarded-credit--v1.0.0--nyc3;eventing-nyc3,True,False
account-workers.billing.service.digitalocean.com,billing.lifecycle.extended_credit_expiration,v1.0.0,SCHEMA_FORMAT_JSON,no_order,ept--account-workers.billing--billing.lifecycle.extended-credit-expiration--v1.0.0--nyc3;eventing-nyc3,True,False
invoice-workers.billing-cloudways.service.digitalocean.com,billing.lifecycle.invoice_generated,v1.0.0,SCHEMA_FORMAT_JSON,no_order,ept--invoice-workers.billing-cloudways--billing.lifecycle.invoice-generated--v1.0.0--nyc3;eventing-nyc3,True,False
account-workers.billing-cloudways-sandbox.service.digitalocean.com,billing.lifecycle.taxation_identity_created,v1.0.0,SCHEMA_FORMAT_JSON,no_order,ept--account-workers.billing-cloudways-sandbox--billing.lifecycle.taxation-identity-created--v1.0.0--nyc3;eventing-nyc3,True,False
bandwidth-collector.network-product.service.digitalocean.com,INTERCONNECT_ATTACHMENT_BGP_STATUS,v1,SCHEMA_FORMAT_JSON,ia_uuid,ept--bandwidth-collector.network-product--interconnect-attachment-bgp-status--v1--nyc3;eventing-nyc3,True,False
bandwidth-collector.stage.network-product.service.digitalocean.com,interconnect_gateways.state.bmp_route_monitoring,v3,SCHEMA_FORMAT_JSON,tunnel_id,ept--bandwidth-collector.stage.network-product--interconnect-gateways.state.bmp-route-monitoring--v3--nyc3;eventing-nyc3,True,False
bandwidth-collector.network-product.service.digitalocean.com,interconnect.billing.partner_interconnect_billing_usage,v1,SCHEMA_FORMAT_JSON,resource_urn,ept--bandwidth-collector.network-product--interconnect.billing.partner-interconnect-billing-usage--v1--nyc3;eventing-nyc3,True,False
account-workers.billing-cloudways-sandbox.service.digitalocean.com,billing.lifecycle.taxation_payment_address_updated,v1.0.0,SCHEMA_FORMAT_JSON,no_order,ept--account-workers.billing-cloudways-sandbox--billing.lifecycle.taxation-payment-address-updated--v1.0.0--nyc3;eventing-nyc3,True,False
account-workers.billing.service.digitalocean.com,billing.lifecycle.expired_credit,v1.0.0,SCHEMA_FORMAT_JSON,no_order,ept--account-workers.billing--billing.lifecycle.expired-credit--v1.0.0--nyc3;eventing-nyc3,True,False
account-workers.billing-cloudways.service.digitalocean.com,billing.lifecycle.account_state_updated,v1.0.0,SCHEMA_FORMAT_JSON,no_order,ept--account-workers.billing-cloudways--billing.lifecycle.account-state-updated--v1.0.0--nyc3;eventing-nyc3,True,False
account-workers.billing-cloudways.service.digitalocean.com,billing.lifecycle.expired_credit,v1.0.0,SCHEMA_FORMAT_JSON,no_order,ept--account-workers.billing-cloudways--billing.lifecycle.expired-credit--v1.0.0--nyc3;eventing-nyc3,True,False
account-workers.billing-cloudways-sandbox.service.digitalocean.com,billing.lifecycle.expired_credit,v1.0.0,SCHEMA_FORMAT_JSON,no_order,ept--account-workers.billing-cloudways-sandbox--billing.lifecycle.expired-credit--v1.0.0--nyc3;eventing-nyc3,True,False
bandwidth-collector.network-product.service.digitalocean.com,PEERING_USAGE,v1,SCHEMA_FORMAT_JSON,peering_urn,ept--bandwidth-collector.network-product--peering-usage--v1--nyc3;eventing-nyc3,True,False
account-workers.billing.service.digitalocean.com,billing.lifecycle.account_state_updated,v1.0.0,SCHEMA_FORMAT_JSON,no_order,ept--account-workers.billing--billing.lifecycle.account-state-updated--v1.0.0--nyc3;eventing-nyc3,True,False
bandwidth-collector.network-product.service.digitalocean.com,TRANSIT_GATEWAY_BANDWIDTH,v1,SCHEMA_FORMAT_JSON,no_order,ept--bandwidth-collector.network-product--transit-gateway-bandwidth--v1--nyc3;eventing-nyc3,True,False
bandwidth-collector.network-product.service.digitalocean.com,interconnect_gateways.state.bmp_route_monitoring,v3,SCHEMA_FORMAT_JSON,tunnel_id,ept--bandwidth-collector.network-product--interconnect-gateways.state.bmp-route-monitoring--v3--nyc3;eventing-nyc3,True,False
usageservice.marketplace.service.digitalocean.com,marketplace.usageservice.usage_request,v1.0.2,SCHEMA_FORMAT_JSON,no_order,ept--usageservice.marketplace--marketplace.usageservice.usage-request--v1.0.2--nyc3;eventing-nyc3,True,False
account-workers.billing.service.digitalocean.com,billing.lifecycle.taxation_identity_deleted,v1.0.0,SCHEMA_FORMAT_JSON,no_order,ept--account-workers.billing--billing.lifecycle.taxation-identity-deleted--v1.0.0--nyc3;eventing-nyc3,True,False
account-workers.billing-cloudways.service.digitalocean.com,billing.lifecycle.extended_credit_expiration,v1.0.0,SCHEMA_FORMAT_JSON,no_order,ept--account-workers.billing-cloudways--billing.lifecycle.extended-credit-expiration--v1.0.0--nyc3;eventing-nyc3,True,False
